"","ID","Role"
"Fisher, Jasper, b. 1591.","Fisher, Jasper, b. 1591.","Author"
"Fisher, John, Saint, 1469-1535.","Fisher, John, Saint, 1469-1535.","Author"
"Montagu, Anthony Browne, Viscount, ca. 1528-1592.","Montagu, Anthony Browne, Viscount, ca. 1528-1592.","Author"
"A. C.","A. C.","Author"
"Champney, Anthony, 1569?","Champney, Anthony, 1569?","Author"
"Fisher, John, of Chester.","Fisher, John, of Chester.","Author"
"Fisher, John, 1569-1641.","Fisher, John, 1569-1641.","Author"
"Floyd, John, 1572-1649.","Floyd, John, 1572-1649.","Author"
"Fisher, John, student in Oxford.","Fisher, John, student in Oxford.","Author"
"Fisher, William, student of diuinitie.","Fisher, William, student of diuinitie.","Author"
"Fit John, John.","Fit John, John.","Author"
"Fitz-Geffry, Charles, 1575?","Fitz-Geffry, Charles, 1575?","Author"
"Fitzgeffrey, Henry.","Fitzgeffrey, Henry.","Author"
"Beaumont, Francis, 1584-1616.","Beaumont, Francis, 1584-1616.","Author"
"Drayton, Michael, 1563-1631.","Drayton, Michael, 1563-1631.","Author"
"Fitzherbert, Anthony, Sir, 1470-1538.","Fitzherbert, Anthony, Sir, 1470-1538.","Author"
"Harvey, Gabriel, 1550?","Harvey, Gabriel, 1550?","Author"
"Fitzherbert, John, d. 1531.","Fitzherbert, John, d. 1531.","Author"
"Berthelet, Thomas. aut","Berthelet, Thomas. aut","Author"
"Fitzherbert, Thomas, 1552-1640.","Fitzherbert, Thomas, 1552-1640.","Author"
"Fitzjames, Richard, d. 1522.","Fitzjames, Richard, d. 1522.","Author"
"Bazan, Álvaro de, marquês de Santa Cruz, 1526-1588.","Bazan, Álvaro de, marquês de Santa Cruz, 1526-1588.","Author"
"Flecknoe, Richard, d. 1678?","Flecknoe, Richard, d. 1678?","Author"
"Fleming, Abraham, 1552?","Fleming, Abraham, 1552?","Author"
"Nausea, Friedrich, d. 1552.","Nausea, Friedrich, d. 1552.","Author"
"Autpertus, Ambrosius, d. 784.","Autpertus, Ambrosius, d. 784.","Author"
"Augustine, Saint, Bishop of Hippo.","Augustine, Saint, Bishop of Hippo.","Author"
"Cicero, Marcus Tullius.","Cicero, Marcus Tullius.","Author"
"Ascham, Roger, 1515-1568.","Ascham, Roger, 1515-1568.","Author"
"Fletcher, Anthonie.","Fletcher, Anthonie.","Author"
"Fletcher, Giles, 1549?","Fletcher, Giles, 1549?","Author"
"Fletcher, Giles, 1588?","Fletcher, Giles, 1588?","Author"
"Fletcher, John, 1579-1625.","Fletcher, John, 1579-1625.","Author"
